-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Latitude  47.6101   Longitude -122.2015
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999
Parameter(s):
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2)
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (W m-2)
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (W m-2)
T2M                    MERRA-2 Temperature at 2 Meters (C)
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%)
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s)
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees)
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C)
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C)
PS                     MERRA-2 Surface Pressure (kPa)
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg)
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day)
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS10M,WD10M,T2MDEW,T2MWET,PS,QV2M,PRECTOTCORR
2025,1,1,0,3.7,0.0,4.24,3.78,96.24,0.76,61.8,3.26,3.52,100.61,4.78,0.24
2025,1,1,1,0.0,0.0,0.0,3.51,95.18,1.23,75.9,2.83,3.17,100.56,4.64,0.26
2025,1,1,2,0.0,0.0,0.0,3.12,94.61,1.5,91.1,2.36,2.74,100.48,4.49,0.15
2025,1,1,3,0.0,0.0,0.0,2.87,93.46,1.27,106.9,1.93,2.4,100.41,4.36,0.43
2025,1,1,4,0.0,0.0,0.0,2.96,92.39,1.07,128.9,1.86,2.41,100.36,4.34,1.46
2025,1,1,5,0.0,0.0,0.0,2.86,91.28,1.12,133.2,1.58,2.22,100.29,4.26,1.81
2025,1,1,6,0.0,0.0,0.0,2.55,90.39,1.4,126.0,1.15,1.85,100.21,4.13,2.65
2025,1,1,7,0.0,0.0,0.0,2.2,89.68,1.58,126.5,0.71,1.46,100.11,4.0,4.82
2025,1,1,8,0.0,0.0,0.0,1.75,90.24,1.62,133.7,0.35,1.05,100.04,3.9,9.12
2025,1,1,9,0.0,0.0,0.0,1.33,95.15,1.38,140.0,0.66,0.99,100.05,3.99,17.56
2025,1,1,10,0.0,0.0,0.0,0.87,97.16,1.07,155.8,0.49,0.68,100.08,3.94,14.39
2025,1,1,11,0.0,0.0,0.0,0.86,97.28,1.19,168.9,0.49,0.67,100.14,3.94,10.32
2025,1,1,12,0.0,0.0,0.0,1.15,96.52,1.29,172.0,0.67,0.91,100.19,3.99,5.37
2025,1,1,13,0.0,0.0,0.0,1.24,95.47,1.51,173.2,0.62,0.93,100.24,3.97,4.11
2025,1,1,14,0.0,0.0,0.0,1.38,95.72,1.68,173.2,0.8,1.09,100.26,4.02,2.59
2025,1,1,15,0.0,0.0,0.0,1.46,97.07,1.8,179.4,1.07,1.27,100.27,4.1,1.37
2025,1,1,16,18.27,107.38,16.89,2.03,97.95,1.62,182.8,1.75,1.89,100.28,4.31,1.21
2025,1,1,17,77.35,166.68,53.53,3.2,97.64,1.52,187.2,2.87,3.04,100.28,4.67,0.78
2025,1,1,18,132.12,143.16,91.84,4.13,97.08,1.58,189.5,3.71,3.92,100.25,4.96,0.44
2025,1,1,19,166.05,146.32,124.01,4.91,96.3,1.38,190.0,4.36,4.63,100.19,5.2,0.35
2025,1,1,20,171.82,101.59,135.14,5.45,95.18,1.23,198.0,4.73,5.09,100.14,5.34,0.31
2025,1,1,21,98.93,9.19,85.02,5.69,94.62,0.66,198.4,4.9,5.3,100.1,5.4,0.19
2025,1,1,22,76.75,19.58,66.03,5.54,95.05,0.33,90.0,4.81,5.17,100.08,5.37,0.19
2025,1,1,23,35.78,0.81,32.26,4.93,95.15,0.84,69.8,4.23,4.58,100.1,5.15,0.2
2025,1,2,0,3.33,0.0,3.81,4.17,95.72,1.22,67.4,3.55,3.86,100.13,4.91,0.22
2025,1,2,1,0.0,0.0,0.0,3.83,97.64,1.26,72.4,3.49,3.66,100.13,4.89,0.17
